label,line,borough,_page,Month,Year,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
Elder Avenue,,Bronx,4,,,1849800.0,1908840.0,2018880.0,1849824.0,1280984.0,1498184.0,,1882398.0,1014084.0,1788918.0
Sound View Avenue,,Bronx,4,,,1348884.0,1417447.0,1413992.0,1867838.0,,1884423.0,1880876.0,,1388989.0,2348616.0
St. Lawrence Avenue,,Bronx,4,,,1883074.0,1812881.0,1868820.0,1894404.0,1789848.0,1828788.0,1897242.0,929884.0,748341.0,772480.0
East 177th Street,,Bronx,4,,,1814888.0,1888908.0,1796008.0,,1388171.0,,1888992.0,2318391.0,2280128.0,3280881.0
Castle Hill Avenue,,Bronx,4,,,,731273.0,697889.0,669472.0,,1092797.0,2288144.0,,,496274.0
Zerega Avenue,,Bronx,4,,,2012978.0,2097082.0,2030118.0,,3008897.0,489820.0,498780.0,493880.0,1964988.0,1010439.0
Westchester Avenue,,Bronx,4,,,1873208.0,3169847.0,1892989.0,1838644.0,1647840.0,1394793.0,1748830.0,1386882.0,1778808.0,1748888.0
Middletown Road,,Bronx,4,,,1807876.0,1843804.0,1880288.0,1888844.0,1787030.0,1304793.0,,,,
Buhre Avenue,,Bronx,4,,,1478487.0,1872410.0,1848871.0,1808991.0,,,413833.0,790178.0,483093.0,320832.0
Pelham Bay Park,,Bronx,4,,,18284.0,13828.0,12081.0,11972.0,9348.0,,,,,
WHITE PLAINS ROAD LINE—NET TOTAL,,Bronx,4,,,17190888.0,18248787.0,18871288.0,18888887.0,19088888.0,19076181.0,18987741.0,18880888.0,17874919.0,17303819.0
"Dr. Adjustment of Joint Traffic, 3d Ave. 'El'",,Bronx,4,,,3088287.0,3176633.0,2988972.0,3671917.0,3818887.0,2878891.0,2918734.0,2777327.0,2962402.0,3002700.0
White Plains Rd. Line—Gross Total,,Bronx,4,,,80248818.0,81420370.0,81880910.0,81810744.0,81877068.0,81877068.0,81900988.0,82000017.0,20887221.0,20806819.0
East 180th Street,,Bronx,4,,,4023817.0,3784420.0,3994718.0,,3869488.0,3829618.0,3888988.0,3800017.0,,1713903.0
Bronx Park East,,Bronx,4,,,824482.0,928200.0,1096900.0,1216300.0,1244790.0,1322090.0,1422884.0,1479288.0,1483273.0,1482440.0
Pelham Parkway,,Bronx,4,,,1683648.0,2109760.0,2088388.0,2018381.0,2182484.0,2083189.0,2888888.0,,,
Allerton Avenue,,Bronx,4,,,2818880.0,2848989.0,2616920.0,2787974.0,2828848.0,2847178.0,2898938.0,3800098.0,2697888.0,2888183.0
Burke Avenue,,Bronx,4,,,1671992.0,1831893.0,1882882.0,1482838.0,1488284.0,1811884.0,1819981.0,1487899.0,4068180.0,1394883.0
Gun Hill Road,,Bronx,4,,,1081828.0,1878848.0,1829888.0,1368118.0,1268388.0,1200272.0,1772804.0,1234789.0,1170948.0,1198860.0
East 219th Street,,Bronx,4,,,1307403.0,1840128.0,1888701.0,1888888.0,,,,,,
East 228th Street,,Bronx,4,,,1722844.0,1777748.0,1748882.0,1888488.0,1881894.0,1888093.0,1874841.0,1889001.0,1478871.0,1486836.0
233rd Street,,Bronx,4,,,2983888.0,2848882.0,3108888.0,3188889.0,2889428.0,2488897.0,1899241.0,1487897.0,1402878.0,1478830.0
East 241st Street,,Bronx,4,,,2902836.0,3064887.0,3187041.0,3381880.0,3206821.0,3981907.0,2931289.0,2783727.0,3947881.0,3194784.0
Miscellaneous ticket sales,,Brooklyn,4,,,1880.0,,,,,,,,,
EASTERN PARKWAY LINE,,Brooklyn,4,,,69878876.0,70848088.0,67817707.0,81870488.0,88700884.0,87410878.0,89804810.0,89088888.0,88783904.0,88118888.0
MAIN LINE,,Brooklyn,4,,,88222001.0,89903091.0,89147980.0,87421498.0,87449800.0,87086827.0,84828884.0,87108168.0,88089880.0,88808888.0
Bergen Street,,Brooklyn,4,,,3871460.0,3880483.0,3799948.0,3808978.0,3808978.0,,,,,2802808.0
Grand Army Plaza (Prosp. Park Plaza),,Brooklyn,4,,,8011001.0,3761102.0,3838732.0,3268488.0,2787887.0,2888498.0,2888418.0,2883118.0,,3080078.0
Eastern Parkway (Brooklyn Museum),,Brooklyn,4,,,1927919.0,1999788.0,1939778.0,1880248.0,1929020.0,2004884.0,2104437.0,2080821.0,1972808.0,4882887.0
Franklin Avenue,,Brooklyn,4,,,3781808.0,3988781.0,3881888.0,3881888.0,,2880988.0,3840888.0,,,4832887.0
