label,segment,_page,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,borough
Segment Total,Canarsie,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11810565.0,11297343.0,11130366.0,11806270.0,12104849.0,11054238.0,11170059.0,,,,,,,,,,,,,,,Brooklyn
168 St. (Closed 9/11/77),Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870931.0,1683426.0,1033623.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Queens
160 St. (Closed 9/11/77),Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481799.0,409307.0,257516.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Queens
Sutphin Blvd.-LIRR (Closed 9/11/77),Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690909.0,620659.0,400612.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Queens
Queens Blvd. (Closed 4/15/85),Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138313.0,133990.0,213757.0,424806.0,440836.0,418533.0,421032.0,,,,,,,,,,,,,,,Queens
Metropolitan Ave. (Closed 4/15/85),Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193496.0,187892.0,179737.0,197693.0,201181.0,182491.0,187397.0,,,,,,,,,,,,,,,Queens
121 St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304383.0,301067.0,286428.0,303584.0,315481.0,303263.0,311263.0,,,,,,,,,,,,,,,Queens
111 St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293232.0,271787.0,241405.0,251284.0,275169.0,263568.0,272388.0,,,,,,,,,,,,,,,Queens
104-102 Sts.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316026.0,302344.0,278406.0,280936.0,299096.0,282157.0,284056.0,,,,,,,,,,,,,,,Queens
Woodhaven Blvd.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444912.0,446480.0,431721.0,431721.0,464848.0,408517.0,474950.0,,,,,,,,,,,,,,,Queens
Forest Pkwy.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474341.0,443537.0,399546.0,405634.0,401458.0,385623.0,384702.0,,,,,,,,,,,,,,,Queens
