label,_page,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,borough
103d Street,4,4013856.0,4403100.0,5593887.0,5758389.0,6009105.0,5504687.0,2618575.0,5556785.0,5698350.0,6696789.0,Manhattan
110th Street,4,4944365.0,5221800.0,6002635.0,5211000.0,6516942.0,4582698.0,6758723.0,6652594.0,6943084.0,6969110.0,Manhattan
116th Street,4,5540769.0,5824100.0,6035649.0,6216079.0,6404847.0,6502363.0,9661464.0,10302066.0,10721517.0,10780107.0,Manhattan
125th Street,4,7015969.0,9162200.0,8988347.0,9210143.0,9926100.0,24906818.0,40825118.0,48621822.0,48128100.0,13892460.0,Manhattan
JEROME AVENUE BRANCH,4,13222561.0,15480008.0,17474961.0,22485265.0,29658648.0,1544294.0,1725511.0,1730485.0,1724203.0,1704266.0,Bronx
138th St—Mott Haven,4,896578.0,1006280.0,1072799.0,1262500.0,1440829.0,1084634.0,1116845.0,1170948.0,1213009.0,1260240.0,Bronx
149th Street,4,786041.0,885900.0,841452.0,907171.0,1055909.0,1782939.0,1894395.0,2371225.0,2743984.0,2395516.0,Bronx
161st Street,4,707742.0,769660.0,852700.0,1395000.0,1901324.0,3325484.0,5480484.0,6468110.0,7367094.0,7940078.0,Bronx
167th Street,4,1446500.0,2169100.0,3179500.0,2794163.0,3779991.0,3880861.0,4157221.0,4398652.0,4964073.0,6123143.0,Bronx
170th Street,4,470630.0,631160.0,821400.0,1244043.0,1242733.0,1929968.0,2600435.0,3389552.0,4226209.0,4780753.0,Bronx
Mt. Eden Avenue,4,496647.0,613340.0,735656.0,987713.0,1474060.0,1572382.0,3163676.0,3551297.0,4044256.0,4235496.0,Bronx
Burnside Avenue,4,1075802.0,1225000.0,1346600.0,1633138.0,2002129.0,6345818.0,6072877.0,6421823.0,6462964.0,6137826.0,Bronx
New York University,4,1576138.0,1957660.0,2332240.0,3214101.0,4222937.0,2755348.0,2935128.0,3070755.0,3431380.0,3623637.0,Bronx
183d Street,4,1382102.0,1338400.0,1674500.0,2069124.0,2464376.0,4333349.0,4674157.0,4783440.0,4688884.0,4622360.0,Bronx
Fordham Road,4,1534700.0,2405000.0,2751200.0,3834873.0,3303103.0,2616607.0,1900032.0,8627623.0,4088880.0,4304828.0,Bronx
Kingsbridge Road,4,1068214.0,1229400.0,1711842.0,2512861.0,2303103.0,1043021.0,1408668.0,1510471.0,1723859.0,1834114.0,Bronx
Bedford Park Blvd,4,395482.0,473200.0,502683.0,552832.0,723695.0,798988.0,1193027.0,1479780.0,1624453.0,2211621.0,Bronx
Mosholu Parkway,4,171558.0,209881.0,220905.0,284032.0,473267.0,652025.0,989110.0,1248069.0,1486184.0,1708203.0,Bronx
Woodlawn,4,220327.0,311464.0,431177.0,428380.0,462841.0,,24618467.0,86419881.0,20437899.0,22605348.0,Bronx
PELHAM BAY FARE BRANCH,4,13787024.0,16883730.0,17760116.0,18167876.0,19764804.0,21864061.0,2043649.0,1920019.0,4006882.0,4399572.0,Bronx
138th Street—3d Avenue,4,1898680.0,2199240.0,2111060.0,1953618.0,3026448.0,2041539.0,4442631.0,4281730.0,4413624.0,4399572.0,Bronx
